"State","search_malibu","search_sonata","search_camry","search_fusion","sales_malibu","sales_sonata","sales_camry","sales_fusion","Eminem","maroon5","perry","swift"
"Alabama","21","55","128","52","668","1694","3834","1131","52","67","71","75"
"Arizona","21","46","100","53","1191","1779","2727","1128","67","67","96","75"
"Arkansas","28","54","125","44","671","516","1775","548","61","66","77","72"
"California","16","37","122","46","2244","11159","27014","5919","38","81","100","74"
"Colorado","17","33","78","42","389","961","1480","728","58","58","80","61"
"Connecticut","15","43","91","48","328","1381","1737","604","55","74","71","75"
"Delaware","21","64","109","75","250","352","530","325","65","80","81","79"
"District of Columbia","19","47","95","40","53","128","170","81","58","61","70","56"
"Florida","17","55","98","44","2431","13275","16279","4227","43","78","79","66"
"Georgia","19","46","109","46","1308","2362","6216","2038","62","70","75","66"
"Hawaii","11","29","121","37","38","225","569","102","49","79","70","51"
"Idaho","21","36","103","58","109","178","663","173","63","70","86","79"
"Illinois","25","46","89","54","3255","4598","6203","3340","73","75","84","72"
"Indiana","26","42","84","61","1467","1203","2491","1769","82","75","83","82"
"Iowa","33","37","92","71","1141","491","1378","940","85","75","69","72"
"Kansas","27","43","103","59","409","609","1356","970","65","75","76","73"
"Kentucky","26","45","127","58","622","806","2620","1277","75","72","78","86"
"Louisiana","23","46","115","46","715","1003","2817","817","60","69","81","64"
"Maine","16","35","80","51","138","226","678","285","78","72","74","83"
"Maryland","15","53","106","50","931","3164","4327","1473","58","65","70","66"
"Massachusetts","15","44","106","53","595","2043","5436","1496","54","77","75","97"
"Michigan","33","25","60","87","5305","898","1975","9601","100","80","79","78"
"Minnesota","26","44","91","65","1090","1603","2874","1912","62","74","78","71"
"Mississippi","31","45","134","47","411","599","1512","484","58","64","70","64"
"Missouri","29","49","91","62","1549","1615","2107","1927","65","73","76","74"
"Nebraska","34","50","78","64","395","429","659","565","70","100","80","85"
"Nevada","17","44","107","45","308","772","1124","390","68","87","95","63"
"New Hampshire","17","43","101","67","232","566","938","521","66","80","76","94"
"New Jersey","14","58","107","50","1080","6778","5889","2630","76","77","85","85"
"New Mexico","17","43","94","45","444","394","735","430","74","63","90","58"
"New York","14","40","80","37","3466","9767","11374","4643","79","83","80","69"
"North Carolina","18","50","109","48","1258","3634","7063","2445","60","66","75","75"
"Ohio","25","45","77","67","3017","3405","4795","4661","74","73","81","83"
"Oklahoma","25","53","95","42","734","878","1367","687","60","76","85","76"
"Oregon","13","26","104","45","228","339","1839","562","56","58","74","62"
"Pennsylvania","19","49","77","53","2354","4797","6010","3945","78","85","84","94"
"Rhode Island","21","63","151","63","180","513","843","305","45","83","82","100"
"South Carolina","19","44","110","33","465","1478","3076","811","57","61","74","73"
"Tennessee","22","40","101","49","640","1060","2756","1363","55","70","73","84"
"Texas","21","40","94","45","4027","6361","14502","5893","70","72","94","76"
"Utah","17","56","95","39","237","880","912","250","56","72","97","95"
"Vermont","15","34","89","49","84","105","338","188","80","0","78","88"
"Virginia","15","50","104","53","815","3036","5107","2279","56","65","77","72"
"Washington","16","27","94","47","393","838","2791","1008","59","74","77","64"
"West Virginia","25","45","89","54","358","356","836","590","85","84","85","84"
"Wisconsin","27","37","98","61","1303","1020","2543","1664","69","70","80","71"
