"Email","","","",""
"","","","",""
"Contents Email","","","",""
"Date","Sent #","open #","click #","purchase #"
"12/6/2016","  20,247 ","  3,181 ","  558 ","4"
"12/8/2016","  20,244 ","  3,707 ","  693 ","3"
"12/12/2016","  20,128 ","  3,525 ","  569 ","7"
"12/15/2016","  20,204 ","  3,461 ","  935 ","9"
"12/21/2016","  20,210 ","  2,893 ","  478 ","3"
"12/22/2016","  20,202 ","  2,903 ","  497 ","8"
"12/27/2016","  20,170 ","  3,291 ","  633 ","7"
"12/28/2016","  20,162 ","  3,224 ","  411 ","5"
"1/2/2017","  20,160 ","  3,982 ","  706 ","5"
"1/4/2017","  20,160 ","  2,613 ","  557 ","7"
"1/6/2017","  20,141 ","  3,376 ","  590 ","8"
"1/9/2017","  20,146 ","  3,155 ","  340 ","2"
"1/11/2017","  20,142 ","  3,333 ","  581 ","8"
"1/13/2017","  20,141 ","  3,002 ","  595 ","7"
"1/16/2017","  20,142 ","  3,124 ","  510 ","2"
"1/18/2017","  20,125 ","  3,256 ","  502 ","6"
"1/20/2017","  20,124 ","  3,192 ","  540 ","5"
"1/23/2017","  20,133 ","  3,328 ","  95 ","1"
"1/25/2017","  20,119 ","  3,137 ","  345 ","3"
"1/27/2017","  20,114 ","  3,237 ","  536 ","5"
"1/30/2017","  20,121 ","  3,125 ","  533 ","7"
"","","","",""
"Ad Email","","","",""
"12/1/2016","  40,406 ","  4,153 ","  410 ","6"
"12/5/2016","  20,210 ","  1,960 ","  326 ","9"
"12/6/2016","  20,214 ","  2,069 ","  103 ","3"
"12/7/2016","  20,224 ","  2,376 ","  90 ","3"
"12/8/2016","  40,421 ","  4,470 ","  420 ","8"
"12/9/2016","  20,232 ","  3,236 ","  117 ","3"
"12/11/2016","  20,219 ","  2,210 ","  3 ","1"
"12/12/2016","  20,210 ","  1,838 ","  219 ","2"
"12/13/2016","  20,216 ","  1,943 ","  190 ","3"
"12/12/2016","  20,172 ","  616 ","  4 ","1"
"12/16/2016","  20,197 ","  1,811 ","  67 ","1"
"12/16/2016","  20,201 ","  2,419 ","  136 ","4"
"12/19/2016","  20,192 ","  2,153 ","  353 ","10"
"12/21/2016","  20,184 ","  1,781 ","  169 ","3"
"12/22/2016","  20,176 ","  1,807 ","  124 ","2"
"12/27/2016","  20,165 ","  2,240 ","  41 ","1"
"12/28/2016","  20,180 ","  2,296 ","  486 ","15"
"12/29/2016","  20,175 ","  1,573 ","  162 ","4"
"1/9/2017","  20,150 ","  2,320 ","  108 ","3"
"1/10/2017","  20,142 ","  2,092 ","  173 ","4"
"1/11/2017","  20,140 ","  2,028 ","  332 ","8"
"1/13/2017","  20,126 ","  2,185 ","  48 ","2"
"1/16/2017","  20,141 ","  2,757 ","  168 ","5"
"1/17/2017","  20,114 ","  1,696 ","  285 ","3"
"1/19/2017","  20,125 ","  1,839 ","  124 ","3"
"1/20/2017","  20,122 ","  2,129 ","  117 ","4"
"1/23/2017","  20,129 ","  3,242 ","  168 ","2"
"1/24/2017","  20,107 ","  1,788 ","  89 ","3"
"1/25/2017","  20,127 ","  2,050 ","  46 ","1"
"1/30/2017","  20,117 ","  1,904 ","  189 ","5"
"1/31/2017","  20,122 ","  1,787 ","  62 ","1"
